,,2,3
0,0,54840.0,10940.55
0,1,97789.0,10623.07
0,2,27300.0,10705.55
0,3,93733.0,11011.9
0,4,30479.0,11317.43
0,5,8065.0,11642.65
0,6,9234.0,11947.7
0,7,29944.0,12582.59
0,8,65332.0,12808.63
0,9,37051.0,14000.41
0,10,109465.0,14164.53
0,11,19824.0,13930.01
0,12,34684.0,12849.36
0,13,27518.0,13058.2
0,14,20840.0,11782.35
0,15,59467.0,9625.28
0,16,73877.0,8426.74
0,17,78614.0,9320.19
0,18,80386.0,10092.19
0,19,79676.0,10725.43
0,20,18312.0,11205.03
0,21,93285.0,10782.95
0,22,95779.0,11444.08
0,23,10673.0,12239.89
0,24,102630.0,12810.54
0,25,385.0,12724.41
0,26,25914.0,12231.11
0,27,74709.0,12965.69
0,28,149536.0,13279.32
0,29,94364.0,13275.2
0,30,131623.0,13610.15
0,31,74934.0,14089.66
0,32,41885.0,15409.39
0,33,84828.0,15658.36
0,34,11318.0,16097.33
0,35,134053.0,16576.66
0,36,36227.0,16943.1
0,37,54493.0,17138.2
0,38,98543.0,17958.79
0,39,33114.0,18288.63
0,40,38450.0,18312.39
0,41,62115.0,18144.07
0,42,97569.0,17918.15
0,43,76786.0,17918.15
0,44,9892.64810334654,1318.27
0,45,13790.1696758881,1234.33
0,46,10334.1369220692,1220.63
0,47,9572.6746028313,1226.7
0,48,5786.74790318836,1396.7
0,49,3245.86945026661,1745.81
0,50,13504.3442590204,1805.18
0,51,18908.9055282156,2949.14
0,52,27112.9235432793,3783.06
0,53,16333.6034856954,4471.03
0,54,12455.9640105852,6092.057
0,55,14966.6341144677,5601.783
0,56,32272.4209050945,4672.17
0,57,1533.22295920768,3637.324
0,58,12434.274922052,2523.282
0,59,2526.99552817321,2320.792
0,60,20546.0300891154,2676.682
0,61,23463.4798752717,3471.442
0,62,31632.1403428931,3320.612
0,63,29005.4585345025,3332.891
0,64,1395.20866394687,3166.183
0,65,13133.9286413814,2738.744
0,66,5613.5674744581,3159.512
0,67,32793.2836693668,3049.926
0,68,29450.246134129,3027.2135
0,69,15395.7622625317,2817.2232
0,70,21049.3950808195,2528.9199
0,71,6770.83651102632,2460.4219
0,72,1227.17964771712,2452.3471
0,73,47082.3935414711,2174.1024
0,74,18729.9247127169,2359.1687
0,75,22489.224727524,2434.4773
0,76,14693.1960571147,2324.0173
0,77,25775.1870138891,2255.6045
0,78,10360.4398870424,2251.7624
0,79,41482.3563246521,2138.7822
0,80,24465.4890316646,2224.6535
0,81,34819.4045942284,2494.224
0,82,63211.3216380386,3383.182
0,83,66571.9184700861,4941.7139
0,84,48840.0079360059,5166.35
0,85,22713.7580344515,3650.2494
0,86,60558.4695294357,3651.7672
0,87,11349.0,5060.8
0,88,2141.0,5290.8
0,89,1688.0,5501.5
0,90,2366.0,5872.4
0,91,2809.0,6132.7
0,92,7834.0,5986.6
0,93,2054.0,6260.0
0,94,12259.0,6516.2
0,95,5078.0,6732.4
0,96,10366.0,6730.7
0,97,3811.0,6565.4
0,98,742.0,6374.9
0,99,9042.0,5916.3
0,100,6858.0,5311.3
0,101,1144.0,4638.92
0,102,913.0,4500.44
0,103,12474.0,5208.57
0,104,5833.0,5538.07
0,105,2737.0,5825.01
0,106,179.0,5424.87
0,107,2161.0,5875.35
0,108,10767.0,6091.33
0,109,9671.0,6082.88
0,110,9364.0,6054.55
0,111,5026.0,5713.82
0,112,4059.0,5945.25
0,113,9620.0,5965.58
0,114,1046.0,5845.92
0,115,1780.0,5917.05
0,116,8128.0,5961.59
0,117,717.0,6483.58
0,118,853.0,6723.06
0,119,10619.0,6840.27
0,120,7499.0,6681.98
0,121,6415.0,6777.7
0,122,2462.0,6836.73
0,123,9187.0,6865.86
0,124,9022.0,6878.49
0,125,4971.0,6877.97
0,126,3291.0,6837.92
0,127,3018.0,6949.73
0,128,1842.0,7103.98
0,129,380.0,6844.8
0,130,8789.0,6444.08
0,131,269.0,4124.37
0,132,4093.0,4373.77
0,133,15481.0,4650.24
0,134,28684.0,4890.49
0,135,44010.0,5255.26
0,136,7883.0,5286.4
0,137,13575.0,5433.79
0,138,34283.0,5677.3
0,139,10854.0,6068.83
0,140,19248.0,6168.15
0,141,39223.0,5862.83
0,142,34385.0,5749.79
0,143,35961.0,5078.39
0,144,89.0,5142.1
0,145,16392.0,4535.11
0,146,4849.0,3396.22
0,147,2399.0,3314.18
0,148,13693.0,3521.14
0,149,3082.0,3892.36
0,150,10240.0,4045.14
0,151,5487.0,4066.53
0,152,12702.0,3777.37
0,153,2402.0,3916.78
0,154,16163.0,4072.62
0,155,35488.0,4157.14
0,156,54727.0,4023.29
0,157,27823.0,3368.62
0,158,26998.0,3427.92
0,159,12292.0,3594.83
0,160,12705.0,3456.71
0,161,19301.0,3581.58
0,162,10471.0,3785.82
0,163,36813.0,3966.06
0,164,1331.0,4076.55
0,165,8142.0,4299.89
0,166,20202.0,4332.07
0,167,8199.0,4419.13
0,168,46.932171633357,29197.19
0,169,135.084390246932,26554.83
0,170,78.1530697515836,30011.96
0,171,433.755531743485,33629.47
0,172,98.6309401397635,39239.75
0,173,660.690208633855,41660.9
0,174,398.065775413572,37851.02
0,175,1062.84321982687,42069.83
0,176,1612.14400844853,46452.26
0,177,122.754041813952,53422.67
0,178,929.393850741583,58096.89
0,179,733.354378023027,65319.04
0,180,3875.29701038672,65790.81
0,181,220.531600636253,72766.9
0,182,3181.79885681528,73128.7
0,183,8959.71479060253,56633.65
0,184,199.720735,42312.28
0,185,292.805518000004,46818.33
0,186,1987.653852,54497.3
0,187,2224.514086,61617.07
0,188,770.584800150007,70045.08
0,189,253.205824939993,71784.78
0,190,876.684717629993,70524.35
0,191,282.605986010001,71837.67
0,192,1722.03692790999,72995.69
0,193,549.920386829996,69837.52
0,194,1459.3402329,64620.08
0,195,165.554944580004,59513.13
0,196,1216.29631401999,66203.5
0,197,169.342046459998,68394.33
0,198,3680.25620654,59445.79
0,199,2351.32544195,62105.47
0,200,60.9184128999977,63312.46
0,201,1200.70108676999,56429.27
0,202,1826.54855678,55702.9
0,203,1256.11753475,56460.38
0,204,1383.28252722,52155.28
0,205,2366.17187094,57983.32
0,206,9.84163597999861,61895.98
0,207,388.299046810009,56101.41
0,208,1157.69123585001,58051.61
0,209,213.288131929996,55112.05
0,210,114.371885539999,49338.4126
0,211,557.125747600006,49338.4126
0,212,2032.15,1399.08
0,213,1308.1,1585.04
0,214,4228.42,1487.3
0,215,7742.94,1693.47
0,216,3291.81,1754.75
0,217,1600.77,1777.84
0,218,2427.23,1807.28
0,219,5614.23,1969.91
0,220,4637.63,1931.14
0,221,4974.64,1956.14
0,222,295.08,1709.17
0,223,3771.31,1017.17
0,224,8342.4,851.35
0,225,4406.7,1206.2
0,226,185.79,1217.67
0,227,2648.86,1388.59
0,228,7772.74,1484.03
0,229,2837.87,1530.93
0,230,4943.07,1441.58
0,231,3465.58,1687.99
0,232,2369.36,1815.6
0,233,2656.58,1859.99
0,234,282.21,1740.53
0,235,3344.01,1526.57
0,236,6284.45,1631.15
0,237,2341.33,1550.05
0,238,113.39,1535.38
0,239,1632.07,1490.21
0,240,4945.98,1562.93
0,241,4444.16,1448.42
0,242,7371.52,1487.19
0,243,15207.14,1533.61
0,244,2950.33,1507.49
0,245,5075.62,1518.83
0,246,3999.51,1516.75
0,247,1835.61,1606.84
0,248,2620.89,1838.18
0,249,802.22,1721.8
0,250,4387.64,1733.17
0,251,1610.7603175508,2665.42
0,252,111.786047992613,2858.11
0,253,2532.72636439777,2768.32
0,254,1651.76267604589,2708.9
0,255,3416.44378618427,2324.29
0,256,922.65652794583,1299.22
0,257,1390.50006905669,886.04
0,258,735.456509120862,1223.52
0,259,1435.37615605017,1320.87
0,260,792.347299358786,1738.69
0,261,124.569078611191,1947.72
0,262,2557.05065407575,1924.8
0,263,2580.4664382645,1904.36
0,264,2293.89135661307,1582.43
0,265,613.85604310777,1672.15
0,266,1900.31962513302,1920.84
0,267,178.607989468306,1888.76
0,268,145.284508705794,1690.97
0,269,2095.97899486747,1548.48
0,270,401.40103329126,1203.03
0,271,488.944606485586,1254.97
0,272,850.338344343254,1280.74
0,273,2927.2782000827,1070.39
0,274,36.6236733131764,1020.08
0,275,279.697373847339,1005.61
0,276,3046.6726151437,1131.2
0,277,2616.90384965336,1008.97
0,278,1378.51765729646,944.7
0,279,1524.18383002011,917.88
0,280,1965.56857069496,951.18
0,281,21.508304954431,1145.85
0,282,2343.07843935236,1120.89
